view_count,score,Query,Intent
5058,0,Why is Discord Bot not being added to my server?,genuine
5037,4,Configuring nvim-dap for JavaScript and Python,manipulative
5011,6,How to make Next.js debugging useful?,genuine
4992,-1,How do I correctly use the os.path to locate a file stored in a specific folder?,genuine
4975,5,Debugging a Python script executed in a Docker container with VSCode?,genuine
4947,2,Lldb debugging using lldb-server on android?,genuine
4878,8,How to increase NLog log level at runtime,genuine
4864,0,How to get full traceback in Python Notebook by using &quot;%tb&quot;?,genuine
4841,0,How come I keep getting a 401 error when using Google Identity service login in my Laravel app?,genuine
4821,1,Dart/Flutter Debug Console Issue on Visual Studio Code,genuine
4811,0,How to enable Full StackTraces in Unity 2021,genuine
4809,2,"nvim &quot;failed to run config for nvim-dap&quot;, loader.lua:369 attemp to call field &#39;setup&#39; (a nil value)",genuine
4759,2,Clang: Don&#39;t optimize a given file,genuine
4690,1,strip all vs debug symbols,genuine
4675,2,"Debug core file with LLDB without executable, but with debug symbols file",genuine
4669,4,Disable Cors on mobile Chrome,genuine
4622,1,What does signal 9 mean in MPI? How to debug?,genuine
4588,5,How to debug dotnet core source code using Visual Studio Code,genuine
4557,7,Polars / Python Limits Number of Printed Table Output Rows,genuine
4486,1,The argument &#39;path&#39; must be a string or Uint8Array without null bytes. Received,genuine
4465,4,VSCode Build Script Configuration To Build Class Library,genuine
4412,1,Flutter debugPrint(),manipulative
4409,10,Element inspector not working (React Native),genuine
4304,2,gdb-multiarch (MINGW64) cannot determine architecture from executable?,genuine
4257,1,USB Debugging option on my Android keeps turning off [Huawei],genuine
4251,5,VS Code - Go debug error - Could not launch process: fork/exec - Access Denied,genuine
4245,1,"Error: no device found Error: unable to open ftdi device with vid 0403, pid 6010, description &#39;*&#39; When trying to debug ESP32-S3 on macOS",genuine
4241,5,Android Studio Flamingo Debug Console not working,genuine
4236,3,How can I attach VS Code Debugger to a Chrome browser tab?,genuine
4218,22,Scope section in Chrome DevTools is stuck at &quot;Loading...&quot;,genuine
4115,7,LogTrace and LogDebug Not Appearing in Console OR Debug Windows - Logging issue in .NET 7.0,genuine
4103,3,How to debug a meson.build file?,genuine
4074,8,What settings does &quot;Disable managed optimizations and restart debugging&quot; actually change in Visual Studio?,genuine
4013,13,Android Studio Error Running &#39;app&#39;; The application could not be installed,genuine
4000,0,"APP crashing on android devices, game built with unity editor 2020.3.33 LTS",genuine
3972,0,"Python debugging, language server problem",genuine
3971,0,How to debug a file from current directory with Python in VS Code?,genuine
3970,0,How to debug TypeScript in Visual Studio Code,genuine
3908,1,Troubleshooting macOS 12 program execution: &quot;terminated by signal SIGKILL (Forced quit)&quot;,genuine
3855,2,Uncaught (in promise) Error: Cannot read properties of undefined (reading &#39;_RUNTIME_&#39;),genuine
3844,2,Connect remote mobile device to Chrome devtools on Mac,genuine
3818,3,"Next.js, debugging server-side code with chrome devtools. Breakpoints are ignored and console output does not go to chrome devtools",genuine
3799,13,Running application from Android Studio debug became slow,genuine
3791,1,Debugging Chrome Crashpad crash report from Mac,genuine
3750,0,Enable USB debugging in Android via PC,genuine
3748,1,Newbie at dotNet dump analysis: dotnet-dump and clrstack -all,genuine
3733,9,Cannot get &quot;debug test&quot; to work in VSCode (golang),genuine
3728,6,Visual Studio 2022 Breakpoints not hit in Blazor WebAssembly using .NET 8.0,genuine
3713,3,vscode changing python interpreter leads to no module named debugpy,genuine
3686,0,Generating ADB QR Code for connecting to a wireless debugging,genuine
3681,4,DotnetDebugger.setDebuggerProperty&#39; wasn&#39;t found,genuine
3657,3,Docker wipes out mongoDB container data,genuine
3604,4,How do I set the default launch.json and tasks.json for debugging my C/C++ applications in VS Code,genuine
3567,2,How to use decode_stacktrace.sh?,genuine
3549,4,debug session doesn&#39;t work with debug gem,genuine
3531,2,How to debug Vue 3 Vite while on lan --host,genuine
3514,3,Cannot find g++ build and debug active file when trying to add configuration,genuine
3508,2,Debugging React Native app having React Native Reanimated with Vscode: TypeError: global.performance.now is not a function,genuine
3505,3,"How to debug Flutter app that starts from a killed / terminated state , eg receiving an FCM message?",genuine
3505,5,Linux kernel - tracefs vs debugvs,genuine
3475,2,Can you use React Developer Tools on a Tauri app that uses React JS?,genuine
3470,3,Cannot Debug Angular 15 app in VS Code on Windows,genuine
3470,1,VScode debugging: /dev/gpiomem Permission denied,genuine
3470,8,VsCode now is showing main.chunk.js instead on original jsx file in debugging mode,genuine
3452,3,"Vscode debugger will not always show local variables when debugging. Stops after I halt, repeat, or try to debug again after the first time",genuine
3414,0,How to properly install COLMAP on ubuntu when using a conda environment?,genuine
3408,1,How to debug Laravel application using PhpStorm,genuine
3401,4,R Debugger in Visual Studio Code does not work despite being installed,genuine
3399,1,Where Can I Find Remote-Devices Option for Chrome Debugger?,genuine
3388,0,Rider IDE Docker Compose debugging not working,genuine
3382,10,Connect iPhone via network for debugging in Xcode 13 not working,genuine
3371,2,Flutter: different app icon and app name depending on release/production build or debug/development build?,genuine
3353,3,How to fix EXC_CRASH (SIGKILL) watchdog termination?,genuine
3345,1,How can I fix this buildozer build error?,genuine
3334,6,React Native Debugger on Expo SDK 48,genuine
3260,1,"&quot;Error: Cannot open load file: No such file or directory, use-package&quot; when I byte compile",genuine
3259,3,How do I place a breakpoint at the start of an application in LLDB,genuine
3243,0,Listening for transport dt_socket at address: 8000,genuine
3234,3,nx build command failed with TypeError: Cannot read properties of undefined (reading &#39;cloud&#39;),manipulative
3227,0,Unity new Input System not registering Callbacks,genuine
3219,0,"What are the differences between Cheat engine and other applications like IDA, Ghidra, and x64dbg?",genuine
3217,4,Spyder debugger unable to step past the first line,genuine
3203,-1,VSCode Debugger not Launching,genuine
3187,2,When to choose the TRACE log level over the DEBUG log level,genuine
3185,3,Connection errors when inspecting network traffic of Android mobile game with HTTP Toolkit,genuine
3185,1,How to do Debugging Test Cases of Robot Framework in Pycharm?,genuine
3185,2,import uvicorn could not be resolved,genuine
3145,5,Cannot debug test case in VS Code: Found duplicate in &quot;env&quot;: PATH,genuine
3128,3,Rust: Make unwrap() print error.display() instead of error.debug(),manipulative
3095,0,Jetbains Rider remote debugging ASP.NET Core 6.0 apps through SSH kept failing,genuine
3055,13,How to avoid &quot;skipped by smartStep&quot; in visual studio code,
3048,2,"Flutter Windows App Debug, Link: fatal error LNK1104",
3046,1,React Native 0.74 Debugger,
3044,5,Debugging Rust on Vscode : u8 not shown correctly,
3032,3,How to set up Nest.js debugger in WebStorm,
3031,2,Disable Unity Debug Canvas,
3006,1,How to debug an Elasticsearch painless script,
3001,0,How to bring up entire project source code on trace32 along with Assembly?,
2987,0,"sourceMap set to true everywhere, but no typescript sources appearing under my Firefox browser debugger (Angular 14)",
2973,1,How to fix pydev debugger error in Pycharm?,
2968,0,PDB Files in Rider Not Loading,
2941,1,How to change build type in Android Studio,
2924,0,VS Code tasks.json and launch.json to launch a debug job after a preLaunchTask not working,
2910,2,Switch to thread using GDB,
2904,0,How to fix api call working in browser but 403 in android studio,
2901,1,"Python: Failed to Launch Debug Adapter, Operation was cancelled. Visual Studio Community 2022",
2900,0,VS Code - Python Debugging - Step into internal functions,
2877,-2,Flutter app: INSTALL_FAILED_INVALID_APK: Failed to extract native libraries,
2877,0,Why I can&#39;t see signal values during simulation in Simulink? &quot;no data yet&quot; message,
2868,0,Parsing Open Files Stuck in Infinite Loop for C/C++ Tools (IntelliSense),
2847,5,VS Code exception Cannot evaluate because of java.lang.IllegalStateException: Project cannot be found,
2846,11,.Net Maui - A debugger is attached to [myapp].exe but not configured,
2838,11,How to prevent variables from being optimized out when setting kotlin breakpoints in Android Studio,
2834,1,How to configure a Keycloak extensions developement environment?,
2829,3,VS Code Python debugger won&#39;t connect to running process (timeout),
2826,1,How to dump classes loaded into memory? Java,
2811,2,"Is there a way to stop GoogleTest after a specific test is run, whether it passes or fails?",
2797,10,DevTools is switching to the Sources tab automatically whenever a page is refreshed,
2791,1,DevTools Bug: Cannot add node &quot;1&quot; because a node with that id is already in the Store,
2777,1,How to get unique device id or android id in flutter?,
2777,1,"NetBeans, Can&#39;t Set Breakpoint, &quot;outside of any class&quot;",
2758,2,Xcode 14 po returns error in debug console,
2756,4,"Azure DevOps, Pipeline error ##[warning]Couldn&#39;t find a debug log in the cache or working directory JsNode",
2751,0,How to configure my django project: Template Does Not Exist Error?,
2704,3,How to fix &#39;launch.json&#39; error when debugging Azure Function locally using Azurite?,
2698,0,Nvim-dap: Debug adapter didn&#39;t respond. OpenDebugAD7.exe &#39;waiting for v8 protocol on stdin/stdout&#39;,
2697,1,What is the correct _NT_SYMBOL_PATH for my configuration?,
2674,2,How to get &quot;PluginProfiler.Solution.zip&quot; - Plugin Registration Tool - Profiler,
2656,1,How to prevent ptrace anti-debugging in Android?,
2645,2,"xdebug 3, phpstorm configuration under docker installed with wsl 2 ubunto engine with windows 10 as host machine",
2623,1,How to detect the source of memory corruption in C program?,
2620,0,"Angular, Firebase - Can not initialize app with standalone components (nor with standard modules..)",
2607,1,How can I easily run multiple launch config debug sessions with sequential startup instead of parallel startup?,
2605,1,Failed to launch GDB: .pioinit:11: Error in sourced command file: Remote communication error. Target disconnected,
2603,1,Error &quot;Failed host lookup: &#39;$host&#39;&quot; occurs when I use Image.network() in Flutter,
2595,1,Local Variables are not showing in VS Code while debugging,
2595,1,Django: set DEBUG = False causes Server Error (500),
2591,3,Fiftyone database error- Renamed existing log file and Subprocess exited with error 100,
2591,0,How to see error when VS code yellow highlights a line?,
2586,0,Python PyCharm debug is not working properly - click to show value,
2585,3,Debug Spring JSON Serialization,
2577,3,How to properly configure nvim-dap for Golang in neovim?,
2577,0,Missing separate debuginfos,
2572,1,"requests.exceptions.ConnectionError: HTTPConnectionPool(host=&#39;localhost&#39;, port=5000): Max retries exceeded with url: /blockchain (Caused by NewConnect",
2568,0,How to debug PHP using VSCode IDE in Ubuntu,
2566,0,How can I remove a problem in the `problems` tab in vscode,
2563,0,Connection to Python debugger failed socket closed in Pycharm,
2554,2,"Floss manager not present, cannot set Floss enable/disable",
2546,7,&quot;Allow USB debugging?&quot; Keeps Appearing,
2545,0,IIS Express extremely slow start while debugging,
2516,2,OpenSCAD Troubleshooting Method : How (strategies or tools) can I find and plug a “leak” in a 3D model or in an included STL file?,
2507,1,How to examine verbose output after execution in Langchain,
2492,2,How to setup envs in neovim DAP configs for dotnet c#?,
2486,1,Debugging using MSVC,
2472,1,Python: debugging and auto reload on docker container,
2470,2,Where to find the cURL for a network request,
2461,1,C++ code crashes with &quot;A breakpoint instruction (__debugbreak() statement or a similar call) was executed&quot;,
2456,0,"VS code conditional breakpoint does not work (python, platformio)",
2448,1,VS Code debug not stopping on breakpoints,
2448,0,How can I debug executables for Windows using GDB in WSL?,
2436,2,How to open multiple google-chrome on multiple remote debugging ports?,
2434,2,Visual studio 2022 hangs on Debug.Launch(),
2429,0,IntelliJ debugger Cannot find local variable &#39;FileNotFoundException762_DebugLabel&#39;. What is going on?,
2417,0,Execution failed for task &#39;:app:validateSigningDebug&#39;,
2415,1,Switched from .render() to .to_html() when using dataframe.style and now getting TypeError: cannot pickle &#39;module&#39; object,
2407,4,How can I attach to process automatically without having to search it everytime in Rider?,
2406,0,Error Debugging c++ &quot;launch: program &#39;C:\Users\...a.exe does not exist&quot; help needed VS code,
2405,0,invoke pwndbg using just gdb command,
2403,2,Fix the following: &quot;pydevd warning: Computing repr of &lt;something&gt; was slow (took 0.35s)&quot; in VS CODE,
2400,2,F5 not working in Vscode extension development,
2387,-1,How to fix memory leak of flask application with tracemalloc,
2362,5,Error: Run configuration app is not supported in the curent project. Cannot obtain the package,
2333,1,Make spdlog save the file before app crashes,
2331,2,PyCharm warning: incompatible copy of pydevd already imported,
2329,2,Disable vitest&#39;s timeout when debugging in vscode,
2329,1,How to install codelldb cli on Apple Silicon,
2326,2,How to debug svelte with Chrome/Firefox devtools,
2319,2,Debugging a react app shows main.chunk.js instead of sources,
2295,6,FireFlutter: Enable App Check in debug mode,
2293,0,Blazor WASM - How to debug the Program.cs (VS2022 or JB Rider)?,
2292,1,Memory debug option not appearing in Visual Studio,
2282,1,project flutter does not start on vscode but start on android studio,
2271,0,crit: Microsoft.AspNetCore.Components.WebAssembly.Rendering.WebAssemblyRenderer[100],
2269,5,Android Studio NDK &quot;hello from C++&quot; project can&#39;t debug (can&#39;t set breakpoint)?,
2268,1,How do I run a single python test with nvim-dap?,
2262,0,Why all java utils for dumping heap are not working? How to dump heap?,
2259,3,Error in Visual Studio 2022 debugging data table visualizer - missing NewtonsoftSerializationHelper.dll or dependencies,
2259,1,Understanding Bug Report in Android Development,
2251,0,How can I diagnose common errors in JSON data?,
2243,0,Cannot generate core dump file,
2239,2,How to debug Web API deployed on Azure App Service?,
2234,1,using VS Code to debug Chrome，but web request keeps pending,
2234,3,How to analyze a core dump file in fedora,
2231,3,How to effectively Disabler Self-XSS warning when pasting code in console,
2227,4,How to debug a dockerized django in Visual Studio Code?,
2215,0,How can I destructure react query async return variables so that one of them doesn&#39;t log undefined?,
2202,5,How to inspect Virtual Threads on a running JVM?,
2198,1,Loading an ELF File into Qemu,
2192,1,How to force all compilation units to have the same DWARF version?,
2179,0,Error &quot;ORA-24247: network access denied by access control list (ACL)&quot; while debugging with Oracle SQL Developer,
2176,0,kernel.panic_on_oops is set yet kernel doesn&#39;t panic on oops,
2173,2,Vuelidate with Vue 3 &amp; vue-class-component &amp; TypeScript,
2167,3,How to inspect the bytes contained in a &quot;Foundation.Data&quot; byte buffer in Xcode?,
2160,1,How can I pause cypress test and try diff &#39;cy&#39; commands like &#39;byebug&#39; in ruby?,
2159,5,"Bitmap: Error, cannot access an invalid/free&#39;d bitmap here",
2155,7,Can I programmatically attach a running .NET 6 process to a running instance of Visual Studio debugger?,
2149,2,Can I avoid debugger to stop in assembly code?,
2125,0,How to set a conditional breakpoint for C++ strings in VS2019?,
2124,7,Can&#39;t print(po) through Xcode 14 debugger,
2117,0,Debugger for python in Visual Studio 2022 doesn&#39;t work,
2111,1,How to pass command line arguments using vs code debugger,
2100,2,How does vscode or gdb know where the source code is?,
2098,0,Can not get debugger in react native ios simulator to work,
2092,0,How to print out variable name instead of value?,
2088,1,Attach lldb to iPhone from command line,
2084,2,ADB equivalent for iOS device with windows PC,
2073,4,Cannot connect to react native debugger,
2073,4,How to inspect website running on smart TV browser?,
2066,0,"crbug/1173575, non-JS module files deprecated VM10:6747",
2065,0,how to debug FreePascal in VSCode,
2064,2,Python debugging - Spyder - Pause during execution,
2061,5,How to use React Native Debugger or Redux Dev Tools with Expo 50,
2058,1,TypeError: join() takes no keyword arguments,
2052,-2,How to create a complete C# program that will compute the salary with monthly bonus of employee,
2039,2,Why is STM32CubeIDE not showing SFR registers when debugging?,
2036,3,Source file not found / Source file is different - how to avoid unloading and reloading the project?,
2026,1,Any point Studio Debugger error: Studio is not able to connect to Debugger server,
2015,2,Android Studio Flutter breakpoint is disabled when debugging,
2013,2,lldb - is there a way to not stop on breakpoints and print that they&#39;ve been hit instead,
2009,-2,ReferenceError: document is not defined in vsCode,
2006,5,How to debug Vitest test in the browser?,
1999,2,CodeLLDB and VSCode - How to print an array,
1978,2,The GDB process terminated,
1968,1,"iOS - Couldn&#39;t launch app, failed to get the task for process 86757",
1962,2,Unable to debug new Hermes React Native app using Chrome DevTools,
1957,2,Debugging Silverlight with Microsoft Edge,
1957,3,Flutter test: The value of a foundation debug variable was changed by the test,
1955,1,How to debug c++ file in vscode on macOS?,
1948,0,How does attaching to a process work in VS Code debugger extensions?,
1947,1,Why cant I insert a struct value in an unordered_map C++,
1946,1,Can you display messages in the Codesys message window during runtime? If so how?,
1933,2,&amp;&quot;warning: GDB: Failed to set controlling terminal: Operation not permitted\n&quot;,
1932,1,Getting Self Signed Certificate to be accepted by browsers when running Angular SPA in Express on Windows,
1930,4,Attaching a debugger to a container/instance running on a K8s Pod?,
1927,2,Cannot debug executable with lldb on macOS M1: attach failed ((os/kern) invalid argument,
1922,2,Salesforce LWC components - Unable to hit debug point in chrome dev tools - sources tab,
1917,4,VSCode watch variable - Copy value not copying the full value,
1909,0,How can I reenable the warning about unsupported Python version by VS Code debugger,
1909,3,Visual studio code C++ : how to display types and address in watches/locals,
1904,4,How to &quot;inspect to file&quot; (or to string) in Elixir?,
1901,3,Flutter : How to you execute code only in debug mode in Flutter?,
1901,0,Why cannot use &quot;console.WriteLine&quot; in winUI3 app (C++)? error: &#39;Console&#39;: is not a class or namespace,
1897,2,How to use VSCode to debug an application that spawns child processes,
1893,3,Chrome Debugger since update 120: Breakpoints not working when using the &quot;debugger&quot; keyword,
1890,5,debug nuget in Visual Studio Code,
1883,12,VSCode dev container fails to load ms-vscode.js-debug extension correctly,
1882,0,Trouble debugging - VSCode - configuring JSON - Program path is missing or invalid,
1874,3,my Realme device is not connect as adb devices on mac but connecting on windows fluently,
1871,0,Debugging a Plugin throws &quot;Could not load type &#39;Microsoft.Xrm.Sdk.IPluginExecutionContext4&#39; from assembly &#39;Microsoft.Xrm.Sdk&quot;,
1868,3,I am having trouble using GDB - &quot;Cannot insert breakpoint&quot; and &quot;Cannot access memory&quot; -- ASLR?,
1867,1,How to validate Playwright locators in Visual Studio Code without executing tests?,
1863,0,C++ Clion Debugger,
1856,0,Gradle sync failed debugImplementation &#39;com.amitshekhar.android:debug-db:1.0.6&#39; sync failed,
1854,-2,How to debug project with php 5.6. in Visual Studio Code?,
1850,0,How can I debug a nodejs application in vscode using Arc browser?,
1835,2,LLDB cannot print local variables or access them: no member named &#39;table&#39; in namespace &#39;$__lldb_local_vars&#39;,
1830,2,How to avoid truncation when printing large objects in python debugger?,
1829,1,Swift error: Couldn&#39;t lookup symbols with @State variable,
1828,3,Laravel 8 dd() limitations,
1821,2,Neovim dap C++ clangd,
1814,-2,How to debug react native application in android device?,
1814,0,Retrieve const string value from .elf binary via variable name using command line utility?,
1813,1,"In vscode debug mode, enter the subfolder of the root directory of the workspace?",
1809,4,Debugging Chrome Extension in VS Code throws &#39;Cannot connect to the target&#39; error,
1809,3,VS Code / Metals: How to debug Scala sbt project using remote Debugger?,
1806,1,Android app paused while debugging due to SIGBUS signal,
1804,2,How to debug my Node.js TypeScript project in Chrome dev tools,
1799,0,How to read first line of CSV file,
1797,1,Cannot attach to w3wp process in VS 2022,
1795,0,Debug Springboot application with IntelliJ IDEA CE,
1795,3,"/sys/fs/pstore won&#39;t work on poco m3 android, is there a way to fix it?",
1794,1,How can we script dotnet dump analyze commands?,
1792,1,Python: How to debug high CPU consumption on Linux?,
1791,1,How to get an HTTP Proxy response Header in Golang built-in HTTP client?,
1790,0,How to clear the cache on laravel 9 server,
1789,3,Debug on remote JupyterLab Server with IDE (Pycharm),
1786,2,Flutter How to print in debug consloe after killing the app,
1785,1,JavaScript debug breakpoints not working in IntellijIDEA,
1785,1,Android Studio error: android:exported needs to be explicitly specified ..... Android 12,
1783,5,Unstable adb wireless debugging,
1774,2,"missing Linux /sys/kernel/debug/dynamic_debug , how to enable?",
1773,13,browsers don&#39;t display authorization header in devtools,
1772,3,How to turn off frozen modules for hydrogen python extension?,
1771,0,How to take integer input with scanf in C without using arrays?,
1758,1,How to disable the console hiding when I start debugging a .NET project in Visual Studio?,
1742,0,Unable to run &quot;radiusd -X&quot; command on Debian 10,
1742,0,Couldnt locate MSBuild instance to register with OmniSharp after new Unity project,
1740,2,PyCharm 2022.1.2 does not hit the debug breakpoint with Django,
1738,1,Why aren&#39;t my variables displaying in the Vscode debugger while I&#39;m trying to debug my Python code?,
1732,2,Hot Reload no longer detects code changes,
